, '姓名', '简介,,,,,,,,,,,,,,,,,
473', '周世宁', '周世宁（1934.1.12- ）矿山瓦斯防治专家,出生于江苏省扬州市, 1953年毕业于中国矿业学院,现任中国矿业大学教授、博士生导师、中国煤炭工业技术委员会常务委员,长期从事矿井瓦斯防治的科学研究工作，在瓦斯流动理论、煤层瓦斯压力和透气系数等参数测定技术、实验研究和生产应用等方面都有许多发明和创造,发明的“胶圈－压力粘液封孔测定煤层瓦斯压力技术及装置”获1986年国家发明奖三等奖,他创建了以Darcy定律为基础的对煤层有强吸附作用的瓦斯流动微分方程,在实验室进行瓦斯流动的物理模拟试验，并应用相似理论将实验结果以相似准数的形式导出通用的单向、径向和球向不稳定流动瓦斯涌出量计算公式，获1993年国家自然科学奖四等奖,“煤层透气系数测定方法”和“予抽煤层瓦斯防止突出”两项技术，均获1983年原煤炭工业部科技进步奖一等奖,开创性地建立了我国煤层瓦斯地质、流动理论、瓦斯预测和抽放以及煤和瓦斯突出防治的学术体系，他是该理论体系的奠基人,,,,,,,,
474', '周永茂', '周永茂（1931.5.15- ）核反应堆工程专家,浙江省宁波市镇海区人,1955年毕业于上海国立交通大学,1958年原苏联莫斯科动力学院核能进修班毕业,中国中原对外工程有限公司高级工程师,长期在反应堆工程和科技第一线从事设计、研究和建设工作，承担并完成了国家交给的许多核科研任务：完成了“双流程堆芯”潜艇核动力堆本体的早期设计方案；主持开展了为生产堆、动力堆、游泳池堆的燃料元件与氚靶元件的首次国产工艺定型工作；参与了高通量堆设计建造和工程的重大决策，该堆的设计特色，国外尚无先例；核工业二次创业期间，领导民用微堆的开发，该堆在国内建造4座、国外建造5座，嬴得了很好的国际信誉和经济效益,本世纪初主持开发用中子俘获疗法（BNCT）医治脑瘤的核医疗器械－，2014年9月9日实施了我国首例黑色素瘤患者的BNCT临床试治,,,,,,,,,,,
475', '陈湘生', '陈湘生（1956.06.01-），隧道与地下工程专家，湖南湘潭人,先后就读或访学于淮南矿院（现安徽理工大学）、清华大学、柏林工业大学、剑桥大学,现任深圳地铁集团有限公司总工程师兼技术委员会主任（党委委员）；曾任煤炭科学研究总院副总工程师和北京建井研究所所长、深圳市地铁集团有限公司副总经理、中国制冷学会常务理事等,,,,,,,,,,,,,,,
476', '陈政清', '陈政清 (1947.10.28 —)，工程力学专家,出生于湖南省湘潭市，籍贯湖南省邵东县,1981年和1984年相继获湖南大学力学系学士和硕士学位，1987年毕业于西安交通大学力学系获固体力学博士学位，先后在英美两国留学历时两年,现为湖南大学土木工程学院教授，湖南大学风工程研究中心主任；兼任国家973计划“制造与工程领域”咨询专家组成员，湖南省人民政府参事,曾任中南大学（原长沙铁道学院）土木建筑学院院长，湖南省人大常委会委员,,,,,,,,,,,,,
477', '崔愷', '崔愷，1957年8月13日生于北京，男，汉族，建筑学家,中共党员,1984毕业于天津大学建筑系，获硕士学位,2000年当选全国工程勘察设计大师,2011年当选为中国工程院院士,现任中国建筑设计研究院有限公司名誉院长、总建筑师，本土设计研究中心创始人及主持建筑师,中国建筑学会副理事长,天津大学教授，清华大学双聘教授，中国科学院大学教授,,,,,,,,,,
478', '邓铭江', '邓铭江（1960.06.18-），干旱区水资源及水利工程专家，新疆库尔勒人,1982年毕业于新疆农业大学，2007年获河海大学博士学位，曾任新疆额河建管局、水利厅总工程师18年，现任新疆科协副主席、额河建管局局长,,,,,,,,,,,,,,,,
479', '杜彦良', '杜彦良，1956年10月16日生于张家口，男，汉族，河北省石家庄人，大型工程结构状态监测与安全控制专家,中共党员,1993年毕业于北京航空航天大学，获博士学位,曾任石家庄铁道大学党委常委、副校长，现任石家庄铁道大学学术委员会主任、河北省大型结构健康诊断与控制重点实验室主任、国家土木工程教学示范中心主任，兼任国家铁路局科学技术专家委员会副主任、土木工程学会常务理事等,,,,,,,,,,,,,,
480', '龚晓南', '龚晓南，1944年10月12日出生于浙江金华，男，汉族，中共党员，浙江大学滨海和城市岩土工程研究中心主任,1967年毕业于清华大学工业与民用建筑专业，1984年获浙江大学岩土工程博士学位，1986年获洪堡奖学金到德国Karlsruhe大学做研究工作，1988年4月回国，同年聘为教授,1993年聘为岩土工程博士生导师,2002年聘为注册土木工程师（岩土）,,,,,,,,,,,,,,
481', '郭仁忠', '郭仁忠，1956年8月24日出生于江苏盐城，男，汉族，江苏省盐城市人，地理信息工程专家,中共党员,1991年毕业于法国Franche-Comté大学，获地理学博士学位,曾任深圳市规划和国土资源委员会（市海洋局）巡视员,现任深圳大学智慧城市研究院院长、教授、博士生导师，国际欧亚科学院院士,兼任武汉大学博士生导师、国土资源部城市土地资源监测与仿真重点实验室主任、中国城市科学研究会副理事长、原国土资源部科技专家咨询委员会委员、原国家测绘地理信息局科技委员会委员,,,,,,,,,,,,
482', '何华武', '何华武（1955.08- ）铁道工程专家,四川资阳人,1982年铁道部科学研究院研究生毕业,曾任中国铁路总公司总工程师,现任中国工程院党组成员、副院长，中国科学技术协会副主席,,,,,,,,,,,,,
483', '胡春宏', '胡春宏，1962年4月30日出生于山西省榆次，男，汉族，籍贯浙江省慈溪，水力学及河流动力学专业，中共党员,1982年武汉水利电力学院本科毕业，1989年获清华大学博士学位,现任中国水利水电科学研究院副院长、教授级高级工程师，国际泥沙研究培训中心副主任兼秘书长、国务院三峡办三峡工程泥沙专家组组长、中国水利学会泥沙专委会主任,,,,,,,,,,,,,,,
484', '黄卫', '黄卫，1961年4月出生于南通，男，汉族，江苏省南通市人，道路、桥梁及交通工程专家,中共党员,1982年7月毕业于南京工学院（现东南大学），研究生学历，工学博士，教授，博士生导师,曾任东南大学交通学院院长、东南大学常务副校长、江苏省建设厅厅长、江苏省政府副省长、建设部副部长、住房与城乡建设部副部长、北京市副市长、新疆维吾尔自治区党委常委、政府常务副主席等职,现任科技部党组成员、副部长,,,,,,,,,,,,,
485', '江欢成', '江欢成1938年1月生于广东梅州市,工程结构专家，中国勘察设计大师,,,,,,,,,,,,,,,,
486', '江亿', '江亿（1952.4.25- ）建筑环境工程专家,1977年1月毕业于清华大学建工系,以后在核工业部某厂工作，1978年10月考入清华大学研究生班,1985年获工程热物理专业工学博士，以后先后在在清华大学热能系和建筑学院任教，1988年聘为副教授，1991年聘为教授,1988年曾赴英国在英国建筑研究院工作一年,曾参加多项IEA CBCS（建筑和社区的节能）下的国际合作项目,目前为ECBCS理事会中国代表， Annex59的主持人,,,,,,,,,,,
487', '孔宪京', '孔宪京，1952年1月4日出生于江苏省南京市，男，汉族，山东省济宁市人，水工结构专家,中共党员,1980、1983和1990年毕业于大连理工大学，先后获水工结构工程硕士、博士学位,现为大连理工大学教授、博士生导师,曾任大连理工大学副校长、副书记/常务副书记，教育部科技委能源与土木建筑水利学部副主任等,,,,,,,,,,,,,
488', '李华军', '李华军（1962.02.25-），海洋工程安全专家，山东省广饶县人,1982年毕业于山东工学院（已并入山东大学），2001年获日本京都大学工学博士学位,现任中国海洋大学副校长,,,,,,,,,,,,,,,
489', '李建成', '李建成，大地测量学家，1964年12月出生于内蒙古集宁市，籍贯山西省左云县,1993年毕业于武汉测绘科技大学，获工学博士学位,现任武汉大学副校长、教授，教育部高等学校测绘学科教学指导委员会主任、中国测绘地理信息学会副理事长、中国卫星导航定位协会副会长,,,,,,,,,,,,,,,
490', '梁文灏', '梁文灏，1941年9月18日出生于上海，男，汉族，上海市人，隧道及地下工程专家，中共党员，1964年毕业于同济大学铁道建筑专业,曾任中铁第一勘察设计院集团有限公司副总工程师，中国铁道建筑有限公司副总工程师，中国土木工程学会隧道及地下工程委员会理事,现任轨道交通工程信息化国家重点实验室学术委员会副主任,,,,,,,,,,,,,,,
491', '刘加平', '刘加平，1956年11月5日生于陕西省大荔县，男，汉族，工学博士，绿色建筑专家,中共党员,1982年本科毕业于西北大学物理系，1998年6月博士研究生毕业于重庆建筑大学建筑学院,现任西安建筑科技大学建筑学院院长、教授，西部绿色建筑国家重点实验室主任；北京工业大学教授，绿色建筑环境与节能技术北京市重点实验室主任,兼任中国建筑学会副理事长、建筑物理分会理事长,,,,,,,,,,,,,
492', '刘经南', '刘经南，1943年7月1日出生于重庆，男，汉族，湖南长沙人,大地测量与卫星导航专家，北斗/GNSS（Global Navigation Satellite System）技术应用和工程领域专家，中共党员,1967年在武汉测绘学院天文大地测量专业五年制本科毕业，1982年研究生毕业于武汉测绘学院天文大地测量专业，获工学硕士学位,2003~2008年任武汉大学校长，2012年起任昆山杜克大学校长,现任武汉大学教授，博士生导师，国家全球卫星定位系统工程技术研究中心主任，中国测绘学会常务理事，国际“GPS WORLD”杂志编委，国际GPS地球动力学服务组织协调成员，中国兵器工业集团公司双跨院士，中国北斗卫星导航系统专家委员会委员,,,,,,,,,,,,,
493', '刘先林', '刘先林，男，1939年出生，汉族，河北无极县人，摄影测量与遥感专家,中共党员,1957-1962年就读于武汉测绘学院（现武汉大学测绘学院）航空摄影测量系获学士学位,现任中国测绘科学研究院名誉院长、研究员，并受聘担任首都师范大学资源环境与旅游学院、山东科技大学测绘学院、河南理工大学测绘与国土信息工程学院博士生导师,,,,,,,,,,,,,,
494', '马国馨', '马国馨（1942.02.28- ）建筑学家,原籍上海市,出生于山东省济南市,1965年毕业于清华大学，1991年获工学博士学位,北京市建筑设计研究院教授级高级建筑师、总建筑师,主持和负责多项国家和北京市的重点工程项目，如毛主席纪念堂、国家奥林匹克体育中心、首都机场新航站楼、停车楼、中国人民抗日战争纪念雕塑园等，在设计中创造性地解决工程中的技术难题和关键性问题，为工程的顺利开展和建成做出了重要贡献，获国家科技进步奖和建设部、北京市等多项奖励,同时在建筑理论、建筑设计、建筑历史、环境设计、建筑评论等领域进行了大量的工作，除有若干专著译著出版外，还发表学术论文百余篇,1994年被授予中国设计大师,2002年获第二届“梁思成建筑奖”,,,,,,,,,
495', '马洪琪', '马洪琪，1942年10月2日生，男，汉族，籍贯上海市，中共党员，1967年毕业于清华大学水利系,现任华能澜沧江水电股份有限公司高级顾问，曾任中国水利水电第十四工程局总工程师、局长，澜沧江水电有限公司总工程师,,,,,,,,,,,,,,,,
496', '孟建民', '孟建民，1958年2月7日出生于江苏徐州，男，汉族,1990年毕业于东南大学，获博士学位,现任深圳市建筑设计研究总院有限公司董事长及总建筑师、深圳大学特聘教授、澳门城市大学特聘教授、中国建筑学会副理事长、深圳市专家人才联合会会长,被先后授予全国工程勘察设计大师称号、梁思成建筑奖、光华龙腾奖中国设计贡献奖金奖、南粤百杰人才奖,,,,,,,,,,,,,,
497', '缪昌文', '缪昌文，1957年8月生，江苏姜堰人，男，汉族，建筑材料专家,中共党员,1982年毕业于南京工学院（现东南大学），现任东南大学教授、学术委员会主任，江苏省建筑科学研究院有限公司董事长，先进土木工程材料国际联合实验室主席，中国建材联合会副会长等职务,曾任高性能土木工程材料国家重点实验室主任兼首席科学家，九届、十届、十一届全国人大代表，江苏省人民政府参事,,,,,,,,,,,,,,
498', '聂建国', '聂建国，1958年8月4日出生于湖南省衡阳县，男，汉族，结构工程专家,中共党员,1982年1月毕业于湖南大学土木工程系获学士学位，1984年12月毕业于郑州工学院土木建筑工程系获硕士学位，1985年1月至1989年1月在郑州工学院土木建筑工程系任教，1992年1月毕业于南斯拉夫铁托格勒大学土木工程学院获博士学位，1994年11月于清华大学土木工程系博士后出站并留校任教至今,现任清华大学教授、清华大学未来城镇与基础设施研究院院长、清华大学土木工程安全与耐久教育部重点实验室主任、清华大学学术委员会副主任、清华大学科学技术协会副主席,主要学术兼职包括：《建筑结构学报》主编、南昌大学学术委员会主任、中国钢结构协会专家委员会主任、中国钢结构协会副会长、中国建筑学会建筑结构分会副理事长、中国建筑学会建筑施工分会副理事长、中国公路学会桥梁和结构工程分会副理事长等,,,,,,,,,,,,,
499', '钮新强', '钮新强，1962年7月2日出生于浙江湖州，男，汉族，浙江省湖州市人，水工结构专家,中共党员,第十三届全国人民代表大会代表,1983年毕业于华东水利学院获学士学位，1989年毕业于河海大学获硕士学位，2005年获华中科技大学博士学位,现任长江勘测规划设计研究院院长、国家大坝安全工程技术研究中心主任、中国大坝工程学会副理事长,,,,,,,,,,,,,
500', '欧进萍', '欧进萍（1959.3.8- ）结构监测、控制与防灾减灾工程专家,湖南省宁远县人,1987年毕业于原哈尔滨建筑大学（现合并为哈尔滨工业大学），获博士学位,现任哈尔滨工业大学教授，曾任中国振动工程学会理事长、中国建筑学会副理事长、国际结构控制与监测学会（IASCM）执行理事、国际智能基础设施结构健康监测学会（ISHMII）副理事长,,,,,,,,,,,,,,
501', '彭永臻', '彭永臻，1949年2月25日生于哈尔滨，男，汉族，山东省莱州人，污水处理专家,中共党员,1976年毕业于哈尔滨建筑工程学院（现哈尔滨工业大学）给水排水工程专业后留校工作，获该校市政工程硕士和环境工程博士学位， 1993年晋升为教授,2000年起任北京工业大学环境学科首席教授、环境工程研究所所长，现任城镇污水深度处理与资源化利用技术--国家工程实验室主任、污水脱氮除磷处理与过程控制--北京市工程技术研究中心主任,,,,,,,,,,,,,,
502', '秦顺全', '秦顺全，1963年7月15日出生于四川绵竹，男，汉族，四川省绵竹市人，桥梁工程专家,九三学社社员,1987年毕业于西南交通大学桥梁隧道与结构工程专业，获工学硕士学位,现任第十三届全国人大常委，湖北省政协副主席，九三学社中央常委、湖北省委会主委，湖北省科协副主席，中铁大桥勘测设计院集团有限公司董事长,,,,,,,,,,,,,,
503', '任辉启', '任辉启，1953年5月出生于湖南长沙，男，汉族，武器毁伤效应与工程防护专家，中共党员,先后就读于北京大学、中国科学技术大学和西南交通大学，并具有中国科学院地质与地球物理研究所博士后工作经历,曾任原总参某研究所总工程师、所长等职，现为军事科学院国防工程研究院研究员，专业技术一级，少将军衔,中国科学技术大学、南京理工大学、西南交通大学等校兼职教授,,,,,,,,,,,,,,
504', '任南琪', '任南琪，1959年3月生于哈尔滨市，原籍宜兴市,男，汉族，城市水环境领域的知名专家,中共党员,1982年3月本科毕业于哈尔滨建筑工程学院,现为哈尔滨工业大学党委常委、副校长，城市水资源与水环境国家重点实验室主任，“城市水质转化规律与保障技术”国家创新研究群体带头人,兼任国务院住房城乡建设部海绵城市建设技术指导专家委员会主任委员，国务院学位委员会环境科学与工程学科评议组召集人，教育部资源环境与地球科学部委员，国际水协会（IWA）Fellow,教育部环境类专业指导委员会副主任委员，中国环境科学学会副理事长，中国能源学会副会长，中国土木工程学会常务理事等,,,,,,,,,,,
505', '谭述森', '谭述森（1942.01.30- ）卫星导航系统总体设计专家,重庆开县人,1965年毕业于成都电讯工程学院雷达专业,,,,,,,,,,,,,,,
506', '王超', '王超（1958.07.19- ）水资源保护专家,江苏省滨海县人,1984年毕业于河海大学农水系,1995年获河海大学水力学及河流动力学专业博士学位,现任河海大学环境学院院长、教授，博士生导师，教育部浅水湖泊综合治理与资源开发重点实验室主任,主要从事水资源保护与水质改善工程的科技工作，参与全国水功能区划、太湖水污染治理、江苏等省部分城市水环境改善的相关科研与工程建设工作，成果与成效显著,获国家自然科学二等奖1项，国家科技进步二等奖2项，教育部技术发明一等奖1项等科技奖励11项；国家授权发明专利16项；发表SCI收录论文76篇，EI收录论文88篇，出版著作6部,获“何梁何利基金-科技进步奖”、“中国第六届发明创业-特等奖”等称号,,,,,,,,,,
507', '王复明', '王复明（1957.3- ）河南沈丘县人,1987年博士毕业于大连理工大学,1996年获国家杰出青年科学基金,现任重大基础设施检测修复技术国家地方联合工程实验室主任，水利与交通基础设施安全防护河南省协同创新中心主任,,,,,,,,,,,,,,
508', '王浩', '王浩，1953年8月出生于北京，男，汉族，水文水资源学家，中共党员,1989年毕业于清华大学获博士学位,现任流域水循环模拟与调控国家重点实验室主任，中国水利水电科学研究院水资源研究所名誉所长；兼任中国可持续发展研究会理事长；全球水伙伴（中国）副主席；中国自然资源学会、创新方法研究会、水资源战略研究会等国家级学术团体的副理事长或副会长；担任水利部、环保部、国家林业局等省部级行业主管部门科技委委员,,,,,,,,,,,,,,,
509', '王建国', '王建国（1957.7.23- ）,1989年获东南大学博士学位，现任东南大学城市设计研究中心主任,兼任中国建筑学会副理事长、中国城市规划学会副理事长，Frontiers of Architectural Research主编,,,,,,,,,,,,,,,
510', '王梦恕', '王梦恕（1938.12.24- ）隧道及地下工程专家,河南省温县人,1964年毕业于唐山铁道学院获硕士学位,中国铁路工程总公司高级工程师、副总工程师，中国中铁隧道集团副总工程师，北京交通大学隧道及地下工程试验研究中心主任、博导、教授,开拓了铁路隧道复合衬砌新型结构领域的理论研究，摸清了结构受力特点、机理，确定了施工要点及工艺；主持并参加大瑶山隧道深孔光面爆破、喷锚支护、监控量测、反馈信息指导施工、周边钻孔预注浆等关键技术成果的开发、研究和应用，研究实现了大断面、大型机械化快速施工，改变了我国近百年的隧道设计施工方法，使长大隧道修建技术有了重大突破；主持双线铁路隧道不稳定地层信息化施工，首次系统地创新了超前支护体系和稳定工作面的理论分析和应用，创造了新型网构钢拱架和锁脚锚管支护型式并广泛应用于软弱地下工程；主持创造了“浅埋暗挖法”修建城市地铁和车站的施工配套技术，为城市地铁及地下工程建设开辟了一条新路,主持国内多条海底、江河水下隧道的设计、施工研究，多次获得国家、省部级科技进步特等奖、一、二等奖；詹天佑成就奖、大奖，国家人事部一等功,第九、十、十一、十二届全国人大代表，第九、十届全国政协委员，培养博士、博士后近60余名,,,,,,,,,,,
511', '王瑞珠', '王瑞珠（1940.4.2- ）建筑学家，原籍山西，出生于湖南省衡阳市,1963年毕业于清华大学建筑系,1981至1984年赴法国巴黎建筑学院（UPA6）进修,现任中国城市规划设计研究院研究员、学术顾问（返聘）,,,,,,,,,,,,,,
512', '王小东', '王小东，1939年1月17日出生于甘肃兰州，籍贯山东平度，男，汉族，现居乌鲁木齐,建筑设计及理论研究专家，中共党员,1963年毕业于西安冶金建筑学院（现西安建筑科技大学）建筑学专业（6年制）,1963年9月到新疆建筑设计研究院工作至今，历任技术员、建筑师、主任工程师、院副总建筑师、院长等职务,曾任数届中国建筑学会常务理事,现为新疆建筑设计研究院名誉院长，资深总建筑师，西安建筑科技大学博士生导师,,,,,,,,,,,,
513', '吴志强', '吴志强（1960.08.01-），城乡规划学家、工程创新教育学家，上海市人,同济大学城市规划1982年学士，德国柏林工业大学1994年工学博士,城乡规划学理论和工程实践的领军人物，德国工程科学院（acatech）院士，瑞典皇家工程科学院（IVA）院士，美国建筑师协会荣誉院院师（Hon. FAIA），中国2010年上海世博会园区总规划师，北京城市副中心总体城市设计综合方案总规划师,国务院学位委员会城乡规划学科评议组第一召集人，曾任全国城乡规划学专业指导委员会主任委员，亚洲规划院校联合会主席，世界规划院校联合会首届联席主席,获得上海世博会先进个人、全国先进工作者、全国五一劳动奖章、上海市劳动模范、全国优秀科技工作者、全国优秀城市规划科技工作者、上海市科技精英和领军人才等荣誉称号,获多项国家级、教育部、建设部、科技部和上海等省部级科技进步奖和设计奖项，国际规划设计重要奖项,2016年被评选为首批规划领域的全国工程勘察设计大师,,,,,,,,,,,
514', '吴中如', '吴中如（1939.9.9- ）水工结构专家,江苏省宜兴市人,1963年毕业于华东水利学院,河海大学教授,长期从事水工结构及安全监测等研究工作,先后主持国家重点科技攻关项目子题6项，国家三峡重大基金课题、重点基金和973等8项，三峡临时船闸、升船机和二滩等工程项目5项，龙羊峡和佛子岭等科研项目60多项，先后获国家、省部委科技奖14项，其中国家二等奖2项和三等奖1项、省部级特等奖和一等奖3项,在变形监控指标拟定的理论和方法，大坝安全综合评价专家系统，建立完整的监控模型体系，发展和完善了反分析理论，并将成果应用于实际工程等方面，作出了重大的创造性成果,发表论文130多篇，出版“水工建筑物安全监控理论及其应用”、“大坝安全综合评价专家系统”等专著8部,,,,,,,,,,
515', '肖绪文', '肖绪文，1953年4月13日出生于陕西省商洛市，男，汉族，建筑施工技术专家,中共党员,1977年毕业于清华大学土木工程系，后在同济大学进修MBA,曾任中建八局设计院院长、中建八局总工、中建总公司科技部总经理,现任中国建筑股份有限公司首席专家、中国建筑业协会副会长、中国建筑业协会建筑工程技术专家委员会常务副主任、中国建筑业协会绿色建造与施工分会专家委主任、常务副会长,,,,,,,,,,,,,
516', '谢礼立', '谢礼立（1939.3.11- ）地震与防灾工程专家,中国地震局工程力学研究所名誉所长，哈工大土木学院教授；中国地震工程联合会会长；曾连续9年被联合国聘为联合国国际特设专家组专家和联合国科学技术委员会委员等职,先后被选为国际地震工程协会（IAEE）副主席，《国际强地震学学会》主席；《国际地震学与地球内部物理学学会 (IASPEI) 》执行主席,,,,,,,,,,,,,,,
517', '谢先启', '谢先启（1960.12.28-），工程爆破专家，湖北洪湖人,1986年毕业于中国人民解放军工程兵指挥学院，研究生学历，工学硕士，教授级高级工程师，博士生导师，现任武汉航空港发展集团有限公司董事长，武汉爆破有限公司董事长、首席专家，兼任中国爆破行业协会会长（轮值）、中国爆破行业协会专家委员会副主任委员等职,,,,,,,,,,,,,,,,
518', '杨秀敏', '杨秀敏河北青县人，防护工程专家，中国科技大学、解放军理工大学、清华大学、南京理工大学客座教授、博士生导师,,,,,,,,,,,,,,,,,
519', '杨永斌', '杨永斌，1954年8月22日出生于金门，男，汉族，福建省金门县人，结构力学与动力专家,1976年毕业于台湾大学土木系,1984年获美国康乃尔大学博士学位后即返台服务，历任台大土木系主任、台大工学院院长、云林科技大学校长，2014年8月从台大退休, 曾任（台湾）国科会土木学门召集人、及下列各学会理事长：中华工程教育学会、土木水利工程学会、力学学会、结构工程学会,现任重庆大学土木学院荣誉院长、台大土木系名誉教授、《结构稳定与动力国际期刊》(IJSSD)主编、数个SCI国际期刊编委、和两个国际组织的主席：《亚太计算力学学会》(APACM),《东亚太结构工程与营建会议》(EASEC),,,,,,,,,,,,
520', '岳清瑞', '岳清瑞（1962.01.02-），工程结构专家，黑龙江省齐齐哈尔市人,1985年毕业于清华大学土木工程系获工学学士学位，1988年毕业于冶金工业部建筑研究总院获工学硕士学位，2011年毕业于中欧国际工商学院获高级工商管理硕士（EMBA）,现任中冶建筑研究总院有限公司党委书记、董事长兼总工程师，兼任中国钢结构协会会长、国家工业建筑诊断与改造工程技术研究中心及国家钢结构工程技术研究中心主任等,,,,,,,,,,,,,,,
521', '张超然', '张超然，1940年8月23日出生于浙江省温州市，男，汉族，水利水电工程专家,中共党员,1966年2月毕业于清华大学水利工程系,曾任电力工业部成都勘测设计研究院副院长、总工程师，中国长江三峡集团公司总工程师、科学技术委员会主任,现任中国长江三峡集团公司科学技术委员会顾问、中国电建集团成都勘测设计研究院专家委员会高级顾问,,,,,,,,,,,,,
522', '张建民', '张建民（1960.03.16-），岩土工程专家，陕西省商洛市人,先后获西安理工大学岩土工程博士学位和东京工业大学结构工程博士学位,现任清华大学教授，土木水利学院院长,兼任中国土木工程学会土力学及岩土工程分会理事长、《地震工程学报》编委会主任等,,,,,,,,,,,,,,
523', '张建云', '张建云，1957年8月1日生，男，汉族，江苏省沛县人，水文水资源专家,中共党员,1982年毕业于华东水利学院水文系，1996年获爱尔兰国立大学土木及环境工程专业博士学位,曾任水利部水文局总工程师、副局长兼总工程师,现任南京水利科学研究院院长，兼任水利部应对气候变化研究中心主任，国际水文科学协会中国国家委员会主席，《水科学进展》、《水利水运工程学报》杂志主编,,,,,,,,,,,,,
524', '郑健龙', '郑健龙，1954年5月25日出生，男，汉族，湖南省邵东县人，道路工程专家，长沙理工大学教授、博士生导师，中共党员,1981年12月毕业于中南矿冶学院(现中南大学)固体力学专业，获学士学位，湖南大学固体力学专业硕士，长安大学道路与铁路工程专业博士；1993-1994年比利时道路研究中心访问学者，比利时布鲁塞尔自由大学研究员,曾任长沙理工大学校长,现任公路养护技术国家工程实验室主任，公路工程教育部重点实验室主任，兼任中国公路学会副理事长,,,,,,,,,,,,,,
525', '郑皆连', '郑皆连，路桥工程专家,1941年7月17日出生于四川省内江市东兴区，1965年8月毕业于重庆交通学院,教授级高工，中国公路学会桥梁与结构工程分会顾问，广西科协主席,1968年首创我国双曲拱桥无支架施工新工艺，解决了不立拱架修建拱桥的难题,1976年主持设计了广西第一座无支架施工钢筋砼箱拱桥，十多年中修建此类大桥40多座，占当时广西公路大桥总数70％,1992年任邕宁邕江大桥钢骨钢筋砼拱桥设计与施工技术研究课题组组长和大桥专家组组长，建成了当时世界最大跨径的钢筋砼肋拱桥，他提出的千斤顶斜拉扣挂悬拼架设拱骨架技术和连续浇注拱肋外包砼技术，国内首创，广泛推广,成果获国家科技进步二等、三等奖各一项，获省级科技进步奖多项,获国家中青年科技专家称号及首届国务院特贴，1999年当选为中国工程院院士,,,,,,,,,,
526', '郑守仁', '郑守仁，1940年1月生于安徽颍上，男，汉族，安徽颍上人，水利水电工程专家,中共党员,1963年毕业于华东水利学院（现河海大学），水工专业,中国工程院院士，教授级高级工程师，享受国务院特殊津贴专家,长江水利委员会原总工程师，在长江水利委员会先后担任葛洲坝工程设计代表处副总工程师、长江水利委员会副总工程师兼葛洲坝工程设计代表处处长、隔河岩工程设计代表处处长；1994年至2017年任长江水利委员会总工程师兼三峡工程设计代表局局长,,,,,,,,,,,,,
527', '钟登华', '钟登华，1963年11月20日出生于江西，男，汉族，江西省赣州市人，水利工程专家,中共党员,1992年毕业于天津大学获博士学位，后又赴美国麻省理工学院、德国曼海姆大学和德国基尔大学作高级访问学者,现任中国共产党第十九届中央委员会候补委员，天津大学校长、水利工程仿真与安全国家重点实验室主任，兼任天津市科学技术协会副主席,,,,,,,,,,,,,,
528', '周福霖', '周福霖，工程结构与抗震隔震减震控制专家,1939年6月12日（农历）出生，广东汕头市人,男，汉族，中共党员,1963年湖南大学本科毕业，1983年加拿大不列颠哥伦比亚大学硕士研究生毕业,曾任机械工业部第四设计研究院副总工程师，华南建设学院副院长，现任广州大学工程抗震研究中心主任，教授,曾兼任联合国工发组织（UNIDO）隔震技术顾问，国家汶川地震专家委员会委员，国际隔震减震与控制学会（ASSISi）主席,,,,,,,,,,,,
529', '周绪红', '周绪红，1956年9月11日出生于湖南，男，汉族，湖南南县人，结构工程专家,中共党员,1982年、1986年和1992年毕业于湖南大学土木系，相继获得工学学士、硕士和博士学位,曾在美国哥伦比亚大学、莱斯大学、密歇根大学、耶鲁大学短期培训,曾任重庆大学校长、兰州大学校长、长安大学校长,现任重庆大学钢结构工程研究中心主任；中国钢结构协会荣誉会长；国家钢结构工程技术中心技术委员会主任；中国土木工程学会常务理事；中国力学学会常务理事；教育部科技委国际合作学部主任；住建部建筑结构标准化技术委员会副主任委员,2016年获评英国皇家结构工程师学会Fellow和英国皇家特许结构工程师,,,,,,,,,,,
530', '陈厚群', '陈厚群，1932年5月3日出生于江苏无锡，男，汉族，水工结构抗震专家,中共党员,1958年毕业于莫斯科动力学院,曾任中国水利水电科学研究院工程抗震研究中心主任、中国水利学会副理事长、中国振动工程学会常务理事、中国建筑学会抗震防灾分会理事长、国际大坝委员会地震专业委员会副主席,现任国家地震安全性评定委员会常务委员、全国地震标准化技术委员会副主任、国务院三峡建设委员会专家组组长、国务院南水北调工程建设委员会专家委员会主任,,,,,,,,,,,,,
531', '陈肇元', '陈肇元（1931.10.1- ）土木结构工程和防护工程专家，清华大学教授,浙江省宁波市人,1952年毕业于清华大学并留校工作至今,长期从事爆炸、撞击作用下防护结构性能与设计方法的理论与实验研究以及混凝土结构性能的研究，取得成果有许多纳入国家设计规范或用于重要工程，在研究推广现代高强、高性能混凝土技术和土钉支护技术，并编制相应结构设计施工规程的工作中也取得显著成绩,近年来主要从事建筑结构安全性与混凝土结构耐久性设计方法的研究，为延长我国土建结构工程的使用寿命主持编制了设计规范等多种指导性文件,先后撰写过论文和研究报告300余篇,,,,,,,,,,,,
532', '程泰宁', '程泰宁（1935.12.9- ）建筑学专家（学家）出生于江苏省南京市,1956年毕业于东南大学,现任东南大学建筑设计与理论研究中心主任、中国联合工程公司总建筑师、中联?程泰宁建筑设计研究院主持人,,,,,,,,,,,,,,,
